"","x"
"1",-5.32986
"2",-5.27268
"3",-5.57303
"4",-5.37504
"5",-5.36182
"6",-5.358
"7",-5.19661
"8",-5.35997
"9",-5.36899
"10",-5.40143
"11",-5.52903
"12",-5.84067
"13",-5.61134
"14",-5.79848
"15",-5.91644
"16",-5.99811
"17",-5.95125
"18",-5.9524
"19",-6.21298
"20",-6.08213
"21",-6.14951
"22",-5.78519
"23",-5.81587
"24",-5.75245
"25",-5.725
"26",-5.82172
"27",-5.71359
"28",-5.49423
"29",-5.58901
"30",-5.28922
"31",-5.42168
"32",-5.29197
"33",-5.13379
"34",-5.08875
"35",-4.9347
"36",-5.0775
"37",-5.21795
"38",-4.96786
"39",-4.85037
"40",-5.28112
"41",-5.03776
"42",-5.15095
"43",-5.07176
"44",-5.12502
"45",-4.84236
"46",-5.01636
"47",-5.16475
"48",-4.63157
"49",-5.08909
"50",-4.92371
"51",-4.78374
"52",-4.967
"53",-4.82874
"54",-4.98502
"55",-4.92096
"56",-5.09842
"57",-5.18086
"58",-5.0138
"59",-4.81909
"60",-4.71147
"61",-4.92227
"62",-4.95318
"63",-4.58389
"64",-4.77159
"65",-4.81992
"66",-4.66467
"67",-4.78597
"68",-4.72673
"69",-5.06505
"70",-5.13891
"71",-5.12666
"72",-5.11218
"73",-5.1695
"74",-5.0725
"75",-4.99995
"76",-4.96246
"77",-4.88191
"78",-4.89211
"79",-4.79965
"80",-4.48482
"81",-4.67768
"82",-4.85289
"83",-4.79431
"84",-4.29688
"85",-4.34597
"86",-4.13606
"87",-4.39293
"88",-4.47651
"89",-4.48082
"90",-4.29941
"91",-4.35479
"92",-4.29114
"93",-4.22493
"94",-4.28666
"95",-4.18956
"96",-4.12543
"97",-4.52128
"98",-4.41621
"99",-4.35498
"100",-4.31095
"101",-4.64342
"102",-4.18188
"103",-4.42082
"104",-4.41473
"105",-4.27857
"106",-4.28059
"107",-4.43843
"108",-4.3119
"109",-4.62268
"110",-4.69843
"111",-4.64075
"112",-4.48042
"113",-4.60652
"114",-4.95432
"115",-4.89671
"116",-4.93802
"117",-4.79176
"118",-4.77626
"119",-5.00011
"120",-5.04702
"121",-5.23366
"122",-5.07377
"123",-5.21291
"124",-5.06618
"125",-4.99694
"126",-4.75446
"127",-4.76918
"128",-4.91129
"129",-4.73813
"130",-4.6501
"131",-4.82006
"132",-4.74327
"133",-4.56256
"134",-4.38041
"135",-4.46076
"136",-4.35251
"137",-4.17675
"138",-3.9616
"139",-4.14116
"140",-4.15653
"141",-4.13426
"142",-4.25766
"143",-4.45974
"144",-4.45605
"145",-4.79872
"146",-4.90437
"147",-5.08747
"148",-5.13517
"149",-5.33615
"150",-5.38055
"151",-5.47507
"152",-5.25271
"153",-5.08551
"154",-5.00449
"155",-5.49352
"156",-5.62155
"157",-5.59522
"158",-5.52133
"159",-5.84
"160",-5.72058
"161",-5.31089
"162",-5.74131
"163",-5.75218
"164",-5.42755
"165",-5.55232
"166",-5.50686
"167",-5.73902
"168",-5.61328
"169",-5.88777
"170",-5.78048
"171",-5.95617
"172",-5.82435
"173",-5.68325
"174",-5.75312
"175",-5.78033
"176",-5.84881
"177",-5.79705
"178",-5.55108
"179",-5.51093
"180",-5.6189
"181",-5.59308
"182",-5.61574
"183",-5.31616
"184",-5.40422
"185",-5.59804
"186",-5.59432
"187",-5.4288
"188",-5.49658
"189",-5.79772
"190",-5.49666
"191",-5.47363
"192",-5.3446
"193",-5.4012
"194",-5.23357
"195",-5.25426
"196",-5.13135
"197",-5.12313
"198",-5.04002
"199",-4.65107
"200",-4.78432
"201",-4.86814
"202",-4.71019
"203",-5.1185
"204",-5.10386
"205",-4.97461
"206",-5.18615
"207",-5.31587
"208",-5.40636
"209",-5.28183
"210",-5.53438
"211",-5.50172
"212",-5.03562
"213",-5.29691
"214",-4.89794
"215",-4.88974
"216",-5.00967
"217",-5.07365
"218",-5.11604
"219",-5.1129
"220",-5.22518
"221",-5.07184
"222",-4.97146
"223",-4.64083
"224",-5.07668
"225",-5.21299
"226",-4.78213
"227",-5.32464
"228",-5.48609
"229",-5.29555
"230",-5.58633
"231",-5.5251
"232",-5.34195
"233",-5.29271
"234",-5.31495
"235",-5.33505
"236",-5.33804
"237",-5.42977
"238",-5.37945
"239",-5.38377
"240",-5.5841
"241",-5.55296
"242",-5.69328
"243",-5.53846
"244",-5.8186
"245",-5.98041
"246",-5.86086
"247",-5.52836
"248",-5.43434
"249",-5.3986
