"","x"
"1",1.98672
"2",2.26048
"3",2.18128
"4",2.1241
"5",2.09252
"6",1.82428
"7",2.4268
"8",2.20709
"9",2.15302
"10",2.06615
"11",2.32145
"12",2.31315
"13",2.64755
"14",2.45272
"15",2.66285
"16",2.61364
"17",2.77095
"18",3.17636
"19",3.20094
"20",3.23912
"21",2.7517
"22",2.62443
"23",2.57417
"24",2.47273
"25",2.76548
"26",2.91638
"27",2.896
"28",2.67272
"29",2.31476
"30",2.35361
"31",2.20227
"32",2.1434
"33",2.05584
"34",2.00234
"35",1.827
"36",1.86062
"37",1.8678
"38",1.88188
"39",1.98008
"40",2.04428
"41",2.05465
"42",1.89144
"43",1.90039
"44",2.01312
"45",1.70605
"46",1.92211
"47",1.62501
"48",1.63854
"49",1.8411
"50",1.87489
"51",1.76989
"52",1.77072
"53",1.47189
"54",1.70041
"55",1.79676
"56",1.82775
"57",1.65669
"58",1.75229
"59",1.80882
"60",1.74245
"61",1.62265
"62",1.54617
"63",1.34556
"64",1.49407
"65",1.56151
"66",1.42756
"67",1.49576
"68",1.71355
"69",1.82382
"70",1.62879
"71",2.0335
"72",2.06014
"73",1.86579
"74",1.80996
"75",1.77778
"76",1.66973
"77",1.90749
"78",1.86409
"79",1.58531
"80",1.55458
"81",1.37683
"82",1.3866
"83",1.25637
"84",1.13745
"85",0.991494
"86",0.876129
"87",0.7998
"88",0.842183
"89",0.875855
"90",1.09157
"91",1.17481
"92",1.05073
"93",1.08409
"94",0.960738
"95",1.05428
"96",1.14082
"97",1.30503
"98",1.26575
"99",1.15641
"100",1.22027
"101",0.948042
"102",1.11158
"103",0.999925
"104",1.18336
"105",1.08597
"106",1.14529
"107",1.24618
"108",0.982049
"109",1.15337
"110",1.33135
"111",1.10996
"112",1.38856
"113",1.18226
"114",1.44262
"115",1.62629
"116",1.48255
"117",1.46164
"118",1.5008
"119",1.63219
"120",1.68003
"121",2.05594
"122",2.16569
"123",1.70889
"124",1.73776
"125",1.69202
"126",1.55315
"127",1.50188
"128",1.55102
"129",1.44795
"130",1.57966
"131",1.54581
"132",1.41289
"133",1.41893
"134",1.12385
"135",1.0948
"136",1.01651
"137",1.01616
"138",0.656497
"139",0.5576
"140",0.730714
"141",0.973522
"142",0.883924
"143",0.784647
"144",0.986791
"145",1.28293
"146",1.37466
"147",1.65041
"148",2.13623
"149",2.01426
"150",2.07514
"151",2.0435
"152",1.96133
"153",1.96765
"154",2.04151
"155",2.33678
"156",2.63027
"157",2.40334
"158",2.54302
"159",2.30601
"160",2.40376
"161",2.37441
"162",2.56875
"163",2.58942
"164",2.51229
"165",2.65048
"166",2.56732
"167",2.61593
"168",2.70823
"169",2.89389
"170",2.61693
"171",2.49477
"172",2.95288
"173",2.83046
"174",2.89241
"175",2.59275
"176",2.66205
"177",2.66043
"178",2.5387
"179",2.35566
"180",2.34927
"181",2.7497
"182",2.44605
"183",2.28003
"184",2.38295
"185",2.64047
"186",2.24643
"187",2.28593
"188",2.3326
"189",2.19618
"190",2.16237
"191",2.32797
"192",2.24088
"193",2.35745
"194",2.28073
"195",1.98795
"196",2.08359
"197",1.88018
"198",1.62193
"199",1.61663
"200",1.5385
"201",1.74408
"202",1.6098
"203",1.58966
"204",1.56318
"205",1.62628
"206",1.71611
"207",2.07339
"208",2.28609
"209",2.22548
"210",2.31075
"211",2.29112
"212",2.24733
"213",1.96157
"214",2.04675
"215",1.82295
"216",1.74809
"217",1.83692
"218",1.8722
"219",1.86585
"220",2.06737
"221",1.97882
"222",1.83511
"223",1.76226
"224",1.69666
"225",1.68418
"226",1.9359
"227",2.05458
"228",2.3899
"229",2.34525
"230",2.16917
"231",2.18334
"232",2.18068
"233",2.10289
"234",2.20988
"235",2.47751
"236",2.28455
"237",2.49717
"238",2.15379
"239",2.44377
"240",2.35389
"241",2.46585
"242",2.34993
"243",2.46789
"244",2.49281
"245",2.53738
"246",2.68547
"247",2.51615
"248",2.45222
"249",2.48943
"250",2.25744
"251",2.46021
"252",2.65928
"253",2.64724
"254",2.62773
"255",2.7763
"256",2.86407
"257",2.84987
"258",2.60012
"259",2.361
"260",2.7419
"261",2.55124
"262",2.45507
"263",2.66887
"264",2.59928
"265",2.83434
"266",2.77743
"267",2.81618
"268",2.93872
"269",3.01733
"270",3.10538
"271",3.00172
"272",3.36785
"273",3.28705
"274",3.35403
"275",3.43555
"276",3.2489
"277",2.96883
"278",2.79032
"279",2.92446
"280",2.45132
"281",2.31965
"282",2.26917
"283",2.2137
"284",2.20466
"285",2.17055
"286",1.84915
"287",2.10547
"288",2.08337
"289",2.2374
"290",1.84106
"291",1.89426
"292",2.11744
"293",2.19512
"294",2.35734
