"","x"
"1",2.65049
"2",2.64064
"3",2.7174
"4",2.75372
"5",2.82922
"6",2.82928
"7",2.67928
"8",2.85174
"9",2.71579
"10",2.71475
"11",2.67799
"12",2.72632
"13",2.76282
"14",2.86938
"15",2.93157
"16",2.85136
"17",2.83773
"18",2.67549
"19",2.66484
"20",2.88151
"21",2.71351
"22",2.72171
"23",2.78097
"24",2.65376
"25",2.66781
"26",2.5967
"27",2.57235
"28",2.57055
"29",2.82215
"30",2.66298
"31",2.66704
"32",2.56972
"33",2.57923
"34",2.8473
"35",2.8538
"36",2.90557
"37",3.00291
"38",2.89802
"39",2.83397
"40",2.66696
"41",2.81045
"42",2.71711
"43",2.725
"44",2.73619
"45",2.69923
"46",2.7938
"47",2.70733
"48",2.66054
"49",2.66972
"50",2.7729
"51",2.81551
"52",2.67263
"53",2.70894
"54",2.70666
"55",2.8085
"56",2.66729
"57",2.8457
"58",2.90966
"59",2.92543
"60",2.84835
"61",2.85002
"62",2.85342
"63",2.89234
"64",3.16056
"65",3.02694
"66",3.02873
"67",3.03739
"68",3.08678
"69",3.08636
"70",3.01816
"71",3.02435
"72",2.90925
"73",2.78881
"74",2.70927
"75",2.64792
"76",2.70986
"77",2.946
"78",2.92532
"79",2.78624
"80",2.86948
"81",2.72552
"82",2.75815
"83",2.78142
"84",2.70245
"85",2.68319
"86",2.80081
"87",2.7198
"88",2.84566
"89",2.86797
"90",2.79935
"91",2.86346
"92",2.7918
"93",2.7385
"94",2.72791
"95",2.76079
"96",2.87317
"97",2.85922
"98",2.82149
"99",2.76185
"100",2.86527
"101",2.98243
"102",2.88206
"103",2.85251
"104",2.74118
"105",2.73657
"106",2.85785
"107",2.72184
"108",2.79604
"109",2.8048
"110",2.77065
"111",2.84431
"112",2.85318
"113",2.79391
"114",2.73033
"115",2.84342
"116",2.75023
"117",2.84228
"118",2.68522
"119",2.70987
"120",2.85228
"121",2.67044
"122",2.6174
"123",2.69635
"124",2.7256
"125",2.61418
"126",2.72559
"127",2.67553
"128",2.62417
"129",2.81437
"130",2.83891
"131",2.75281
"132",2.82052
"133",2.81353
"134",2.78005
"135",2.77371
"136",2.75799
"137",2.66915
"138",2.66342
"139",2.6582
"140",2.63916
"141",2.82418
"142",2.81427
"143",2.78498
"144",2.61783
"145",2.58652
"146",2.62884
"147",2.66207
"148",2.68275
"149",2.64602
"150",2.65922
"151",2.7064
"152",2.77931
"153",2.78093
"154",2.84815
"155",2.82984
"156",2.93438
"157",2.70408
"158",2.76054
"159",2.70552
"160",2.82908
"161",2.87628
"162",2.84692
"163",2.73148
"164",2.75058
