"","x"
"1",11.6615
"2",3.55116
"3",10.8958
"4",1.2456
"5",6.23252
"6",-5.31871
"7",-11.5119
"8",0.113153
"9",0.139212
"10",0.191397
"11",0.186686
"12",0.300269
"13",-6.59607
"14",-3.4496
"15",-8.46983
"16",4.17438
"17",3.14161
"18",-10.9992
"19",-11.3701
"20",-0.775968
"21",7.96181
"22",-0.0390195
"23",-0.055292
"24",20.7523
"25",16.363
"26",-4.82478
"27",0.309414
"28",0.298937
"29",0.173698
"30",0.000937905
"31",0.0790142
"32",10.8354
"33",13.3428
"34",12.5328
"35",2.31466
"36",-2.02769
"37",10.332
"38",-10.6642
"39",-14.0767
"40",-15.8516
"41",12.6596
"42",3.24614
"43",9.79876
"44",5.50247
"45",-0.0542939
"46",-2.93181
"47",-4.44878
"48",-10.1249
"49",13.4905
"50",9.78911
"51",3.45468
"52",11.7871
"53",6.75434
"54",9.85302
"55",8.40548
"56",8.68055
"57",-1.36253
"58",15.2001
"59",15.9397
"60",15.3007
"61",-6.40096
"62",9.18764
"63",14.8996
"64",-2.25612
"65",-7.20217
"66",0.286912
"67",0.111081
"68",7.37797
"69",-10.0368
"70",-9.50313
"71",1.0946
"72",12.1618
"73",18.8948
"74",5.11468
"75",2.56454
"76",-1.22294
"77",5.07084
"78",-10.3274
"79",9.00372
"80",5.37372
"81",17.5104
"82",-2.35921
"83",-5.18988
"84",-5.13642
"85",-9.38539
"86",-6.00207
"87",11.8569
"88",8.34128
"89",5.2357
"90",4.19641
"91",5.27055
"92",11.5297
"93",-4.35388
"94",-12.1701
"95",11.7843
"96",5.52462
"97",3.02006
"98",3.66125
"99",2.83068
"100",8.0292
"101",8.7997
"102",-8.06515
"103",-1.21547
"104",7.8963
"105",2.51886
"106",-11.6836
"107",4.12348
"108",-2.51506
"109",-3.97113
"110",-11.5028
"111",7.96726
"112",3.00667
"113",0.299238
"114",0.256697
"115",0.166542
"116",0.0819241
"117",-0.0477783
"118",3.13012
"119",-10.6386
"120",9.68129
"121",6.11387
"122",8.11074
"123",-7.82979
"124",17.7668
"125",7.06669
"126",0.0358231
"127",-4.87122
"128",19.125
"129",8.18378
"130",3.1675
"131",-4.13647
"132",-3.61072
"133",4.36038
"134",5.97128
"135",-6.95282
"136",-12.7475
"137",4.84253
"138",-1.7282
"139",1.93712
"140",3.66239
"141",1.21828
"142",5.35232
"143",-8.18831
"144",2.21691
"145",-0.378956
"146",0.637437
"147",0.120889
"148",0.0960617
"149",0.335357
"150",0.313182
"151",0.421487
"152",0.166642
"153",0.256963
"154",-0.0155295
"155",0.396572
"156",0.326135
"157",0.167061
"158",0.00646453
"159",0.302667
"160",0.0688687
"161",0.16356
"162",-0.121892
"163",-2.60708
"164",0.475474
"165",0.338611
"166",0.196451
"167",0.17046
"168",0.254641
"169",0.200133
"170",0.281941
"171",0.337552
"172",0.264957
"173",0.304877
"174",0.402421
"175",0.426325
"176",0.492812
"177",0.365079
"178",0.22074
"179",0.207768
"180",0.109905
"181",0.130311
"182",-0.710239
"183",-0.806254
"184",0.165357
"185",0.0843743
"186",0.410093
"187",0.330816
"188",0.368378
"189",0.343845
"190",0.118942
"191",0.0572366
"192",0.40477
"193",0.425445
"194",0.252208
"195",0.0968576
"196",0.220028
"197",0.33899
"198",0.304194
"199",0.176037
