"","x"
"1",-5.55833
"2",-7.29757
"3",-0.889526
"4",-0.989379
"5",-13.4412
"6",-9.72642
"7",-11.3944
"8",-12.9042
"9",-16.6645
"10",-6.47563
"11",-4.60792
"12",2.1534
"13",-3.09849
"14",-2.85219
"15",-2.81748
"16",-2.93501
"17",-2.98445
"18",-2.94955
"19",-2.73858
"20",-10.963
"21",-6.35468
"22",-6.12622
"23",-10.0769
"24",-10.1688
"25",-4.92971
"26",2.12334
"27",-15.7876
"28",-7.89633
"29",-8.99056
"30",-11.1767
"31",1.17175
"32",-5.3189
"33",-15.2287
"34",0.0995221
"35",-7.13947
"36",-2.37765
"37",-5.4954
"38",-4.76847
"39",-8.69537
"40",-2.76096
"41",-9.12599
"42",-4.547
"43",-2.96081
"44",-15.4996
"45",-14.5282
"46",1.50447
"47",0.851247
"48",-10.8646
"49",-3.51943
"50",-10.1005
"51",-9.14312
"52",-13.9817
"53",-2.97094
"54",-3.04128
"55",-2.53563
"56",-2.87123
"57",-2.99632
"58",-3.00025
"59",-6.93031
"60",-12.0988
"61",-10.4564
"62",-7.33562
"63",-0.531118
"64",5.68578
"65",-0.210344
"66",-15.2032
"67",-3.15515
"68",-8.87631
"69",3.58842
"70",2.79191
"71",-0.943642
"72",-7.80498
"73",0.446806
"74",-13.0551
"75",-4.80239
"76",-8.19534
"77",-5.47584
"78",-9.83778
"79",-6.61246
"80",-2.05032
"81",-10.3862
"82",0.000655616
"83",-13.5252
"84",-9.24497
"85",-7.57484
"86",-9.22416
"87",-14.6532
"88",-3.45033
"89",-7.16178
"90",-6.28402
"91",-5.65275
"92",8.15391
"93",-1.58472
"94",-6.50326
"95",-5.17819
"96",0.702721
"97",1.15082
"98",3.36314
"99",-19.2469
"100",-11.6819
"101",-10.425
"102",-7.81607
"103",-2.08437
"104",2.21086
"105",-5.93459
"106",-2.73523
"107",-3.08325
"108",-3.05442
"109",-2.70368
"110",-2.47472
"111",-0.838758
"112",-13.0026
"113",-8.83676
"114",-14.8735
"115",-16.2938
"116",3.42216
"117",-0.329184
"118",-2.95041
"119",-2.71081
"120",-2.93989
"121",-11.9658
"122",-10.5311
"123",1.50694
"124",-13.52
"125",-20.6027
"126",-2.83126
"127",-7.39309
"128",-8.82651
"129",-5.30689
"130",3.49891
"131",-8.00261
"132",-7.74883
"133",-7.02752
"134",-9.01182
"135",-14.2259
"136",-10.6398
"137",-0.280073
"138",-10.4735
"139",-13.9101
"140",-13.0606
"141",-7.19632
"142",-2.6625
"143",-2.98491
"144",-2.75137
"145",-3.0986
"146",-3.13535
"147",-2.88451
"148",-2.86608
"149",-2.76766
"150",-3.06171
"151",-2.89092
"152",-3.04896
"153",-3.00088
"154",-3.19953
"155",-7.77918
"156",-7.79854
"157",-17.3317
"158",-7.2271
"159",-6.83967
"160",5.3214
"161",-13.2696
"162",-8.77229
"163",-10.4136
"164",-3.59562
"165",-7.40474
"166",-5.83729
"167",-16.4848
"168",-19.9041
"169",-9.29141
"170",-10.0976
"171",-3.42202
"172",-9.49046
"173",-11.4271
"174",-21.3693
"175",-14.7869
"176",-10.9168
"177",-9.31514
"178",-14.9896
"179",-3.06351
"180",-3.24736
"181",-3.00921
"182",3.02948
"183",-1.78217
"184",-4.64619
"185",-7.26142
"186",-8.13572
"187",-7.2701
"188",-5.25387
"189",-7.22212
"190",-1.0395
"191",9.82245
"192",-18.7455
"193",-12.9844
"194",3.2525
"195",-3.1098
"196",-2.86964
"197",-5.40052
"198",-1.90075
"199",-5.6435
"200",-6.31103
"201",-13.0786
"202",-12.6745
"203",5.00995
"204",-0.708782
"205",-9.40376
"206",-12.2186
"207",-13.8227
"208",2.48589
"209",-5.75429
"210",-13.0233
"211",-9.47794
"212",-2.38811
"213",-13.2542
"214",-11.8787
"215",-5.01626
"216",-3.0863
"217",-7.58248
"218",-10.2971
"219",-7.8697
"220",7.80951
"221",6.37971
"222",5.02865
"223",-16.8825
"224",-13.0312
"225",-6.43012
"226",-7.65753
"227",3.86594
"228",-5.91352
"229",6.31908
"230",-6.58913
