"","x"
"1",-0.729756
"2",-0.703051
"3",-0.728907
"4",-0.716425
"5",-0.692877
"6",-0.658825
"7",-0.716016
"8",-0.647412
"9",-0.55578
"10",-0.660022
"11",-0.587136
"12",-0.546708
"13",-0.560556
"14",-0.610667
"15",-0.580427
"16",-0.717061
"17",-0.674466
"18",-0.740797
"19",-0.762664
"20",-0.808134
"21",-0.867235
"22",-0.913814
"23",-0.915364
"24",-1.04388
"25",-1.07437
"26",-1.05496
"27",-0.968777
"28",-1.00944
"29",-1.00098
"30",-0.993112
"31",-0.881838
"32",-0.855794
"33",-0.832528
"34",-0.762884
"35",-0.73341
"36",-0.773567
"37",-0.795229
"38",-0.784656
"39",-0.857436
"40",-0.805039
"41",-0.829193
"42",-0.908188
"43",-0.812068
"44",-0.842561
"45",-0.830916
"46",-0.876077
"47",-0.843291
"48",-0.79167
"49",-0.772012
"50",-0.788378
"51",-0.77263
"52",-0.769528
"53",-0.743378
"54",-0.728268
"55",-0.679827
"56",-0.737983
"57",-0.735825
"58",-0.781428
"59",-0.740412
"60",-0.803479
"61",-0.843723
"62",-0.87231
"63",-0.903423
"64",-0.970142
"65",-0.972264
"66",-1.11924
"67",-1.06664
"68",-1.05834
"69",-1.00936
"70",-1.03856
"71",-1.02774
"72",-1.04218
"73",-0.880023
"74",-0.856114
"75",-0.800932
"76",-0.810315
"77",-0.848098
"78",-0.799203
"79",-0.742095
"80",-0.690216
"81",-0.789292
"82",-0.734084
"83",-0.72907
"84",-0.770887
"85",-0.720687
"86",-0.744031
"87",-0.70603
"88",-0.686263
"89",-0.701095
"90",-0.752207
"91",-0.787223
"92",-0.794302
"93",-0.838388
"94",-0.83545
"95",-0.879808
"96",-0.756984
"97",-0.734216
"98",-0.706452
"99",-0.660941
"100",-0.671912
"101",-0.634991
"102",-0.654983
"103",-0.606859
"104",-0.638241
"105",-0.626076
"106",-0.628204
"107",-0.596883
"108",-0.659736
"109",-0.651102
"110",-0.618664
"111",-0.702153
"112",-0.733349
"113",-0.691407
"114",-0.665436
"115",-0.665166
"116",-0.671585
"117",-0.684325
"118",-0.563478
"119",-0.644573
"120",-0.653417
"121",-0.593684
"122",-0.605778
"123",-0.573344
"124",-0.583869
"125",-0.567186
"126",-0.517511
"127",-0.477749
"128",-0.51021
"129",-0.473067
"130",-0.344863
"131",-0.307327
"132",-0.227552
"133",-0.288251
"134",-0.281698
"135",-0.331839
"136",-0.418558
"137",-0.390742
"138",-0.408178
"139",-0.361519
"140",-0.380115
"141",-0.344191
"142",-0.379369
"143",-0.367213
"144",-0.287946
"145",-0.324498
"146",-0.317476
"147",-0.32956
"148",-0.368133
"149",-0.494112
"150",-0.554133
"151",-0.526442
"152",-0.534344
"153",-0.523192
"154",-0.507869
"155",-0.577614
"156",-0.560888
"157",-0.566122
"158",-0.534799
"159",-0.561142
"160",-0.588646
"161",-0.531879
"162",-0.578881
"163",-0.526928
"164",-0.626797
"165",-0.608775
"166",-0.637654
"167",-0.723577
"168",-0.673696
"169",-0.642207
"170",-0.672888
"171",-0.667633
"172",-0.683994
"173",-0.706249
"174",-0.768675
"175",-0.748773
"176",-0.768773
"177",-0.732905
"178",-0.662885
"179",-0.55467
"180",-0.527572
"181",-0.468618
"182",-0.335415
"183",-0.377616
"184",-0.375247
"185",-0.31538
"186",-0.293298
"187",-0.31218
"188",-0.313808
"189",-0.32074
"190",-0.297717
"191",-0.278342
"192",-0.282795
"193",-0.275114
"194",-0.239774
"195",-0.226322
"196",-0.27952
"197",-0.303297
"198",-0.36862
"199",-0.375987
"200",-0.365645
"201",-0.309549
"202",-0.25979
"203",-0.193078
"204",-0.278393
"205",-0.224164
"206",-0.00879613
"207",-0.0382414
"208",-0.0249311
"209",0.0586141
"210",0.146156
"211",0.245117
"212",0.347109
"213",0.411153
"214",0.106844
"215",0.402989
"216",0.500606
"217",0.406899
"218",0.408478
"219",0.394031
"220",0.416757
"221",0.615112
"222",0.686167
"223",0.946973
"224",1.03034
"225",0.907554
"226",0.921241
"227",1.07343
"228",0.936579
"229",0.68067
"230",0.596322
"231",0.770855
"232",0.788159
"233",1.00821
"234",1.03987
"235",0.9897
"236",1.0689
"237",1.03994
"238",1.24835
"239",1.0903
"240",1.17306
"241",1.05889
"242",0.803235
"243",0.623847
"244",0.434554
"245",0.463178
"246",0.366547
"247",0.639178
"248",0.66923
"249",0.41799
"250",0.229173
"251",0.111661
"252",0.0196748
"253",0.128849
"254",0.0907341
"255",-0.000810575
"256",-0.0643513
"257",-0.171523
"258",-0.00333527
"259",-0.120428
"260",-0.0202229
"261",0.0647599
"262",-0.00300833
"263",-0.233423
"264",-0.493047
"265",-0.504677
"266",-0.406747
"267",-0.504699
"268",-0.66778
"269",-0.707725
"270",-0.773241
"271",-0.933912
"272",-0.684774
"273",-0.77555
"274",-0.853827
"275",-0.715283
"276",-0.665455
"277",-0.456205
"278",-0.38484
"279",-0.370998
"280",-0.58606
"281",-0.841607
"282",-0.824123
"283",-0.840769
"284",-0.954609
"285",-0.90329
"286",-1.15062
"287",-1.19579
"288",-1.28956
"289",-1.10194
"290",-0.939045
"291",-1.26849
"292",-1.37816
"293",-1.12604
"294",-1.01156
"295",-0.921646
"296",-0.957405
"297",-0.907987
"298",-0.837056
"299",-0.882589
"300",-1.13347
"301",-0.878871
"302",-0.970789
"303",-0.621371
"304",-0.439312
"305",-0.799644
"306",-0.552581
"307",-0.514874
"308",-0.480628
"309",-0.724067
"310",-0.787312
"311",-0.728656
"312",-0.59364
"313",-0.621382
"314",-0.931742
"315",-0.923193
"316",-0.566972
"317",-0.577756
"318",-0.720288
"319",-0.529108
"320",-0.749431
"321",-0.426802
"322",-0.212443
"323",-0.181515
"324",-0.0275895
"325",-0.269382
"326",-0.371971
"327",-0.289883
"328",-0.138173
"329",-0.0675376
"330",-0.206403
"331",-0.224383
"332",-0.269168
"333",-0.262259
"334",-0.240402
"335",-0.201192
"336",-0.233602
"337",-0.298649
"338",-0.190553
"339",-0.236887
"340",-0.232049
"341",-0.277107
"342",-0.199687
"343",-0.255106
"344",-0.37515
"345",-0.337674
"346",-0.458764
"347",-0.450972
"348",-0.289816
"349",-0.251828
"350",-0.282514
"351",-0.245031
"352",-0.139487
"353",-0.147155
"354",-0.14177
"355",-0.184255
"356",-0.139884
"357",-0.142717
"358",-0.122681
"359",-0.10606
"360",-0.138406
"361",-0.0489557
"362",-0.139259
"363",-0.262704
"364",-0.243167
"365",-0.316988
"366",-0.288137
"367",-0.359531
"368",-0.285171
"369",-0.33504
"370",-0.337847
"371",-0.290407
"372",-0.313831
"373",-0.262651
"374",-0.2573
"375",-0.256144
"376",-0.208312
"377",-0.174235
"378",-0.219716
"379",-0.173431
"380",-0.222266
"381",-0.152855
"382",-0.0902526
"383",-0.0458523
"384",0.0484663
"385",0.0392316
"386",0.065627
"387",0.0140247
"388",-0.0465585
"389",-0.182212
"390",-0.486048
"391",-0.612966
"392",-0.600384
"393",-0.507241
"394",-0.510892
"395",-0.64641
"396",-0.273601
"397",-0.427659
"398",-0.730284
"399",-0.531941
"400",-0.718219
"401",-0.943656
"402",-1.40547
"403",-1.44883
"404",-1.52719
"405",-1.26828
"406",-1.06811
"407",-0.927674
"408",-0.619266
"409",-0.420738
"410",-0.34068
"411",-0.564431
"412",-0.457783
"413",-0.48964
"414",-0.261527
"415",-0.366345
"416",-0.618933
"417",-0.590531
"418",-0.694853
"419",-0.862689
"420",-0.923161
"421",-0.821188
"422",-0.76732
"423",-0.801536
"424",-0.832504
"425",-1.13995
"426",-1.02825
"427",-0.610282
"428",-0.502674
"429",-0.634424
"430",-0.21579
"431",0.114399
"432",0.0325943
"433",0.0303118
"434",0.103901
"435",0.131353
"436",0.180411
"437",0.206345
"438",0.19114
"439",0.162944
"440",0.123418
"441",0.128555
"442",0.100401
"443",0.0587085
"444",0.132955
"445",0.102472
"446",-0.0290459
"447",-0.00441695
"448",-0.0728431
"449",-0.00258694
"450",0.0667767
"451",0.057655
"452",-0.0397264
"453",-0.0196339
"454",0.0912492
"455",0.0841191
"456",0.0565016
"457",0.107881
"458",0.0470488
"459",0.0653454
"460",-0.0697551
"461",-0.0548212
"462",0.0757797
"463",0.0808461
"464",0.10532
"465",0.259464
"466",0.216732
"467",0.250543
"468",0.274778
"469",0.149442
"470",0.0883385
"471",0.0605632
"472",-0.00282951
"473",-0.0950475
"474",-0.0944481
"475",-0.0900142
"476",-0.0414214
"477",0.0327947
"478",-0.344755
"479",-0.825082
"480",-1.10464
"481",-1.25517
"482",-1.345
"483",-1.46184
"484",-1.51191
"485",-1.44949
"486",-1.26093
"487",-1.37898
"488",-1.19363
"489",-1.32299
"490",-1.08507
"491",-1.2498
"492",-1.43518
"493",-1.38249
"494",-1.27671
"495",-1.35107
"496",-1.02708
"497",-1.17062
"498",-1.08323
"499",-1.1893
"500",-1.30395
"501",-1.52221
"502",-1.53772
"503",-1.37281
"504",-1.66736
"505",-1.60112
"506",-1.53003
"507",-1.59295
"508",-1.66205
"509",-1.57557
"510",-1.66053
"511",-1.88951
"512",-2.09287
"513",-1.97235
"514",-1.96739
"515",-1.91104
"516",-1.97475
"517",-1.90788
"518",-1.84068
"519",-1.79528
"520",-1.80871
"521",-1.5274
"522",-1.40567
"523",-1.57132
"524",-1.29217
"525",-1.05472
"526",-0.904673
"527",-0.929625
"528",-0.88979
"529",-0.627671
"530",-0.392897
"531",-0.251888
"532",-0.0522078
"533",-0.0808423
"534",-0.0395957
"535",-0.162316
"536",0.208539
"537",0.0544178
"538",0.0273717
"539",-0.178862
"540",0.0724324
"541",0.0839358
"542",0.202874
"543",0.139718
"544",0.159775
"545",0.171473
"546",0.197198
"547",0.187724
"548",0.0975568
"549",0.174513
"550",0.148272
"551",-0.114945
"552",-0.0915657
"553",-0.0189022
"554",0.0143364
"555",0.378628
"556",0.527426
"557",0.510573
"558",0.544967
"559",0.302265
"560",0.718533
"561",0.553555
"562",0.723229
"563",0.314383
"564",0.319883
"565",0.332162
"566",0.562235
"567",0.571523
"568",0.790579
"569",0.76003
"570",0.679087
"571",0.603484
"572",0.32945
"573",0.197587
"574",0.504938
"575",0.255541
"576",0.133648
"577",0.118009
"578",0.0677552
"579",0.0104186
"580",-0.024261
"581",0.0273881
"582",-0.0661472
"583",-0.0164142
"584",-0.0474632
"585",-0.00732266
"586",-0.0736158
"587",-0.0491053
"588",-0.0955592
"589",-0.100603
"590",-0.0464752
"591",-0.0536373
"592",-0.0517999
"593",-0.00563567
"594",-0.128318
"595",-0.0491288
"596",-0.0506631
"597",-0.0972995
"598",0.0364116
"599",0.0531997
"600",0.134208
"601",0.115998
"602",0.10638
"603",0.107369
"604",0.00212651
"605",0.0748585
"606",0.0813691
"607",-0.0274037
"608",-0.10377
"609",0.00588199
"610",0.0451817
