"","x"
"1",-1.45231
"2",-1.44972
"3",-1.36498
"4",-1.25994
"5",-1.41318
"6",-1.36714
"7",-1.44317
"8",-1.56582
"9",-1.56441
"10",-1.55777
"11",-1.59387
"12",-1.62158
"13",-1.66437
"14",-1.67237
"15",-1.60856
"16",-1.36552
"17",-1.42706
"18",-1.226
"19",-1.15463
"20",-1.20639
"21",-1.05806
"22",-1.09528
"23",-0.951202
"24",-0.775338
"25",-0.828538
"26",-0.849537
"27",-0.902115
"28",-0.879307
"29",-0.802218
"30",-0.990776
"31",-1.16765
"32",-1.09723
"33",-1.20028
"34",-1.29079
"35",-1.27597
"36",-1.2151
"37",-1.21207
"38",-1.13187
"39",-1.11468
"40",-1.09041
"41",-1.11872
"42",-1.12095
"43",-1.15035
"44",-1.15284
"45",-1.15173
"46",-1.13617
"47",-1.21559
"48",-1.20209
"49",-1.34013
"50",-1.26393
"51",-1.33064
"52",-1.41148
"53",-1.41001
"54",-1.3724
"55",-1.48926
"56",-1.25429
"57",-1.22714
"58",-1.17297
"59",-1.26712
"60",-1.25704
"61",-1.19766
"62",-1.06487
"63",-1.05272
"64",-0.977438
"65",-0.924286
"66",-0.785582
"67",-0.843349
"68",-0.830224
"69",-0.943772
"70",-0.894721
"71",-1.00671
"72",-0.850001
"73",-1.16953
"74",-1.11319
"75",-1.24812
"76",-1.18623
"77",-1.281
"78",-1.30488
"79",-1.41779
"80",-1.25807
"81",-1.37315
"82",-1.45699
"83",-1.45659
"84",-1.36738
"85",-1.55374
"86",-1.41004
"87",-1.31766
"88",-1.43739
"89",-1.50673
"90",-1.18144
"91",-1.18779
"92",-1.27248
"93",-1.2213
"94",-1.18049
"95",-1.2223
"96",-1.27826
"97",-1.30422
"98",-1.44734
"99",-1.39699
"100",-1.33854
"101",-1.39825
"102",-1.31782
"103",-1.48256
"104",-1.40734
"105",-1.55043
"106",-1.55595
"107",-1.63366
"108",-1.61406
"109",-1.72206
"110",-1.71836
"111",-1.54575
"112",-1.45246
"113",-1.59367
"114",-1.64319
"115",-1.4404
"116",-1.42156
"117",-1.57995
"118",-1.63338
"119",-1.60174
"120",-1.4244
"121",-1.59593
"122",-1.63966
"123",-1.59981
"124",-1.55512
"125",-1.72456
"126",-1.77453
"127",-1.76558
"128",-1.83255
"129",-1.93512
"130",-1.98172
"131",-2.03769
"132",-2.06388
"133",-2.01851
"134",-2.15842
"135",-1.87863
"136",-1.86803
"137",-1.90351
"138",-1.95185
"139",-1.9108
"140",-1.99725
"141",-2.00189
"142",-1.99106
"143",-2.00577
"144",-2.10292
"145",-2.02377
"146",-2.02366
"147",-1.95304
"148",-1.79918
"149",-1.74768
