"","x"
"1",-1.72283
"2",-4.17731
"3",2.38712
"4",0.530119
"5",-1.77442
"6",-0.0479162
"7",-4.81206
"8",-8.18142
"9",-8.59644
"10",-3.52422
"11",-2.89155
"12",-7.74318
"13",-0.289885
"14",-3.92326
"15",-11.0857
"16",-11.5643
"17",-7.92852
"18",-3.69729
"19",-11.4092
"20",0.838629
"21",-2.58193
"22",-15.5012
"23",-12.8631
"24",-4.7499
"25",0.79647
"26",-7.37761
"27",-7.76738
"28",-9.53498
"29",-6.47957
"30",-15.0329
"31",-3.0587
"32",0.427985
"33",-12.8163
"34",-4.86637
"35",-11.4763
"36",-3.66605
"37",-9.19282
"38",-16.5344
"39",-2.46629
"40",1.21139
"41",-8.03781
"42",-3.92108
"43",-6.03058
"44",-7.561
"45",-0.677283
"46",-4.19965
"47",-7.54439
"48",0.415871
"49",-3.35708
"50",-6.90666
"51",-5.4841
"52",-6.90741
"53",-4.22271
"54",-3.72584
"55",-2.84372
"56",-2.72984
"57",-3.28018
"58",-3.33116
"59",-6.40429
"60",-6.02005
"61",-11.0315
"62",3.08055
"63",-13.6744
"64",-11.1396
"65",-0.855085
"66",-6.6877
"67",-7.12239
"68",-11.2377
"69",-9.06654
"70",-15.0943
"71",-6.35562
"72",-10.6134
"73",-9.56341
"74",-2.57885
"75",-6.24354
"76",-10.4558
"77",-2.69364
"78",-4.39759
"79",-5.67696
"80",2.4397
"81",-6.93804
"82",-4.70565
"83",-6.34946
"84",-7.41099
"85",-4.15018
"86",-7.63089
"87",-2.91107
"88",-2.72421
"89",-7.22051
"90",-4.69073
"91",-3.5832
"92",-0.577245
"93",-9.19175
"94",-0.320659
"95",-14.439
"96",-6.64144
"97",-6.32289
"98",-5.40285
"99",-5.02415
"100",-2.86496
"101",-4.03209
"102",-3.3561
"103",-20.9981
"104",-13.1888
"105",-3.70619
"106",-8.27482
"107",-5.69736
"108",-8.57806
"109",-5.96882
"110",-10.3581
"111",-2.09768
"112",-6.47469
"113",-3.39562
"114",-0.416902
"115",-8.83131
"116",-10.1539
"117",-13.0845
"118",-6.57764
"119",-4.60544
"120",-3.17769
"121",-9.21243
"122",-12.1454
"123",-3.95547
"124",-6.63518
"125",-2.11228
"126",-3.32982
"127",-5.17353
"128",0.793583
"129",2.51696
"130",-2.24386
"131",-2.24408
"132",-3.85993
"133",-3.06091
"134",-10.893
"135",-10.768
"136",-4.85984
"137",-3.52477
"138",-7.52784
"139",-12.8914
"140",-6.57105
"141",-3.61058
"142",-1.50264
"143",-4.2494
"144",-10.1616
"145",-5.90763
"146",-6.40609
"147",2.00266
"148",1.3148
"149",-0.908086
"150",-13.2711
"151",-4.89074
"152",-16.5353
"153",-10.1123
"154",-8.82688
"155",-2.91489
"156",-14.3337
"157",-18.8477
"158",-7.3878
"159",-8.7329
"160",-4.3962
"161",-7.44637
"162",-12.8534
"163",-12.3073
"164",-12.5515
"165",-0.93249
"166",-0.66991
"167",1.52886
"168",-3.57302
"169",-11.4217
"170",-9.07622
"171",-7.17728
"172",-2.57687
"173",-7.85875
"174",-6.95798
"175",-8.6287
"176",-10.2937
"177",-16.4814
"178",-10.186
"179",7.8247
"180",-18.4169
"181",-14.9358
"182",-9.50783
"183",-10.4899
"184",-12.4926
"185",-2.36943
"186",-10.2734
"187",-8.9986
"188",-17.8832
"189",-12.6191
"190",-11.7959
"191",-0.30026
"192",-3.20144
"193",-8.41058
"194",-5.04136
"195",-2.03522
"196",-5.60124
"197",4.26736
"198",-4.6231
"199",-6.1118
"200",-14.2153
"201",6.89866
"202",-10.123
"203",2.53698
"204",8.03081
"205",-5.30535
"206",-9.05001
"207",-12.2695
"208",-14.0979
"209",-2.00024
"210",-8.99113
"211",-7.52146
"212",-5.08435
"213",-6.80197
"214",-6.16553
"215",-5.16497
"216",-9.06174
"217",-17.5182
"218",-14.0449
"219",-2.01537
"220",-1.81002
"221",-8.20951
"222",-10.1845
"223",-5.67296
"224",-14.1311
"225",-15.0317
"226",-9.30707
"227",-8.33116
"228",-3.9439
"229",-12.7161
"230",0.34567
"231",-7.2671
"232",6.19175
"233",-5.75168
"234",-7.66161
"235",-2.19382
"236",-21.6721
"237",-17.6184
"238",-3.09042
"239",-7.16131
"240",-1.88936
"241",-14.9505
"242",-9.18423
"243",-2.47999
"244",-7.31826
"245",-6.0139
"246",-2.7869
"247",-4.44019
"248",-9.46092
"249",-8.4089
"250",-7.26367
"251",-16.409
"252",-3.28981
"253",-12.3432
"254",-12.737
"255",-1.18495
"256",-11.508
"257",-4.05336
"258",-5.61386
"259",-4.511
"260",-6.26747
"261",-6.54474
"262",-10.0766
