"","x"
"1",-0.00207867
"2",-0.00203818
"3",-0.0021949
"4",-0.00226674
"5",-0.0026369
"6",-0.00249776
"7",-0.0024063
"8",-0.00226127
"9",-0.00233302
"10",-0.0024705
"11",-0.00212019
"12",-0.00245625
"13",-0.0025459
"14",-0.00205698
"15",-0.00250242
"16",-0.00211687
"17",-0.00234334
"18",-0.00229533
"19",-0.00230311
"20",-0.00207319
"21",-0.00250712
"22",-0.00221489
"23",-0.00222781
"24",-0.00247652
"25",-0.00236275
"26",-0.00226247
"27",-0.00224497
"28",-0.00218625
"29",-0.00234662
"30",-0.00237039
"31",-0.00207117
"32",-0.00232622
"33",-0.00204598
"34",-0.00198699
"35",-0.00231431
"36",-0.00224071
"37",-0.0024549
"38",-0.00227325
"39",-0.00247014
"40",-0.00250268
"41",-0.0018901
"42",-0.00224324
"43",-0.00232311
"44",-0.00251214
"45",-0.00252922
"46",-0.00238281
"47",-0.00240414
"48",-0.00226314
"49",-0.00192317
"50",-0.00218103
"51",-0.00219037
"52",-0.00225921
"53",-0.00220656
"54",-0.00256837
"55",-0.00256631
"56",-0.00240082
"57",-0.00262539
"58",-0.00210457
"59",-0.00253678
"60",-0.00218882
"61",-0.00207254
"62",-0.00200194
"63",-0.00199481
"64",-0.00210829
"65",-0.00221765
"66",-0.00225481
"67",-0.00231135
"68",-0.00237621
"69",-0.00224223
"70",-0.00258991
"71",-0.00238317
"72",-0.00224819
"73",-0.00247699
"74",-0.00213816
"75",-0.00245369
"76",-0.00211512
"77",-0.00237515
"78",-0.00207593
"79",-0.00262633
"80",-0.00269694
"81",-0.0021734
"82",-0.00219875
"83",-0.00228528
"84",-0.00252124
"85",-0.00243086
"86",-0.00194063
"87",-0.00254253
"88",-0.00244642
"89",-0.0023798
"90",-0.00242868
"91",-0.00229275
"92",-0.00238487
"93",-0.00250992
"94",-0.00195776
"95",-0.00235661
"96",-0.00215043
"97",-0.00223468
"98",-0.00243662
"99",-0.00223189
"100",-0.00224513
"101",-0.0022137
"102",-0.00215496
"103",-0.00197152
"104",-0.0021222
"105",-0.00219667
"106",-0.00223189
"107",-0.00241115
"108",-0.00275828
"109",-0.00221953
"110",-0.00180554
"111",-0.00219412
"112",-0.00185537
"113",-0.00247633
"114",-0.00212631
"115",-0.002425
"116",-0.00232099
"117",-0.00224186
"118",-0.00218902
"119",-0.00226285
"120",-0.00227766
"121",-0.00234186
"122",-0.00235847
"123",-0.00218874
"124",-0.00259512
"125",-0.00211921
"126",-0.00212136
"127",-0.00226315
"128",-0.0024
"129",-0.00256802
"130",-0.00256864
"131",-0.00245321
"132",-0.0024059
"133",-0.00232796
"134",-0.00230539
"135",-0.00220457
"136",-0.00239442
"137",-0.00227073
"138",-0.0024527
"139",-0.00253652
"140",-0.00233238
"141",-0.00193416
"142",-0.00199418
"143",-0.00213682
"144",-0.00215909
"145",-0.00252899
"146",-0.0025537
"147",-0.00228638
"148",-0.00228901
"149",-0.00235003
"150",-0.00213675
"151",-0.00227532
"152",-0.00231467
"153",-0.00237553
"154",-0.0023947
"155",-0.00217761
"156",-0.00233108
"157",-0.00271746
"158",-0.00213377
"159",-0.00274031
"160",-0.00236628
"161",-0.00205169
"162",-0.00218038
"163",-0.00233031
"164",-0.00219591
"165",-0.00207163
"166",-0.00260085
"167",-0.00265946
"168",-0.00251381
"169",-0.00245333
"170",-0.00234506
"171",-0.00239711
"172",-0.00235413
"173",-0.00249882
"174",-0.0022311
"175",-0.00260145
"176",-0.00265081
"177",-0.00247762
"178",-0.00246155
"179",-0.00242984
"180",-0.00229694
"181",-0.00226423
"182",-0.00235324
"183",-0.00251635
"184",-0.00206633
"185",-0.00229515
"186",-0.00231215
"187",-0.00246052
"188",-0.00227512
"189",-0.00248669
"190",-0.00249234
"191",-0.00250724
"192",-0.00243331
"193",-0.00238235
"194",-0.00226917
"195",-0.00241973
"196",-0.0023968
"197",-0.0022855
"198",-0.00229512
"199",-0.00219871
"200",-0.00194866
"201",-0.00204032
"202",-0.00246163
"203",-0.00245912
"204",-0.00210712
"205",-0.00245948
"206",-0.00211941
"207",-0.00237484
"208",-0.00220433
"209",-0.00264656
"210",-0.00251434
"211",-0.0026273
"212",-0.00267065
"213",-0.00230446
"214",-0.00249797
"215",-0.00230039
"216",-0.00193436
"217",-0.00190339
"218",-0.00250304
"219",-0.00199765
"220",-0.00228236
"221",-0.00223199
"222",-0.00222817
"223",-0.00232793
"224",-0.00221964
"225",-0.00220623
"226",-0.00269869
"227",-0.00263037
"228",-0.00251472
"229",-0.00199709
"230",-0.00239155
"231",-0.00242141
"232",-0.00258271
"233",-0.0020384
"234",-0.00199143
"235",-0.00242724
"236",-0.00239957
"237",-0.0022733
"238",-0.00236789
"239",-0.00216428
"240",-0.00222115
"241",-0.00212499
"242",-0.00261775
"243",-0.00236696
"244",-0.00230443
"245",-0.00241312
"246",-0.00244576
"247",-0.00197615
"248",-0.00198507
"249",-0.00228875
"250",-0.0023585
"251",-0.00228867
"252",-0.00240447
"253",-0.0025859
"254",-0.001962
"255",-0.0021271
"256",-0.00243599
"257",-0.00229655
"258",-0.00240681
"259",-0.00253995
"260",-0.00240007
"261",-0.00217591
"262",-0.00216505
"263",-0.00243757
"264",-0.00221235
"265",-0.00215348
"266",-0.00205958
"267",-0.00227049
"268",-0.00225469
"269",-0.00252314
"270",-0.00230795
"271",-0.00235645
"272",-0.0021806
"273",-0.00244096
"274",-0.00251978
"275",-0.00225837
"276",-0.0023885
"277",-0.00226167
"278",-0.0017868
"279",-0.00242986
"280",-0.00253031
"281",-0.00264907
"282",-0.00220113
"283",-0.00249518
"284",-0.00244518
"285",-0.00206495
"286",-0.00262525
"287",-0.00241717
"288",-0.00241316
"289",-0.00273487
"290",-0.00228294
"291",-0.00248946
"292",-0.0022189
"293",-0.00209818
"294",-0.00249784
"295",-0.00258561
