"","x"
"1",0.510524
"2",0.583454
"3",0.664202
"4",0.671929
"5",0.78451
"6",0.801993
"7",0.78976
"8",0.762613
"9",0.744913
"10",0.744787
"11",0.840482
"12",0.856245
"13",0.76488
"14",0.809864
"15",0.849228
"16",0.960461
"17",0.946966
"18",0.940867
"19",1.01792
"20",0.944305
"21",0.93396
"22",0.925829
"23",0.856544
"24",0.857316
"25",0.905086
"26",1.04744
"27",1.13029
"28",1.16712
"29",1.19347
"30",1.21509
"31",1.21234
"32",1.26764
"33",1.22883
"34",1.22433
"35",1.31288
"36",1.2604
"37",1.22948
"38",1.14057
"39",1.05971
"40",1.05407
"41",1.08365
"42",0.962304
"43",1.02367
"44",1.03487
"45",0.997479
"46",1.01919
"47",1.08907
"48",1.11988
"49",1.15057
"50",1.20941
"51",1.15176
"52",1.14567
"53",1.20691
"54",1.20574
"55",1.14194
"56",1.05668
"57",1.04277
"58",1.05223
"59",1.07115
"60",1.05617
"61",1.08276
"62",1.00545
"63",1.1388
"64",0.979141
"65",0.927927
"66",0.914566
"67",0.854959
"68",0.961755
"69",0.922145
"70",0.886351
"71",0.829959
"72",0.8262
"73",0.761332
"74",0.785229
"75",0.703957
"76",0.784936
"77",0.847321
"78",1.01816
"79",0.84335
"80",0.990678
"81",1.08816
"82",1.16937
"83",1.16222
"84",1.13031
"85",0.961548
"86",1.17194
"87",1.17626
"88",1.19158
"89",1.14775
"90",1.13668
"91",1.23152
"92",1.22667
"93",1.19063
"94",1.20939
"95",1.25412
"96",1.28102
"97",1.27172
"98",1.30851
"99",1.42069
"100",1.50581
"101",1.57161
"102",1.50809
"103",1.43048
"104",1.45516
"105",1.50546
"106",1.63016
"107",1.58586
"108",1.5914
"109",1.58073
"110",1.56616
"111",1.51664
"112",1.51174
"113",1.48938
"114",1.51266
"115",1.46514
"116",1.57317
"117",1.5253
"118",1.57354
"119",1.57363
"120",1.5781
"121",1.59332
"122",1.56911
"123",1.67408
"124",1.65931
"125",1.67953
"126",1.66784
"127",1.75924
"128",1.72972
"129",1.74256
"130",1.783
"131",1.80082
"132",1.76786
"133",1.74807
"134",1.7279
"135",1.79309
"136",1.79375
"137",1.90097
"138",1.80772
"139",1.69126
"140",1.72233
"141",1.75587
"142",1.81661
"143",1.71206
"144",1.76095
"145",1.5657
"146",1.57749
"147",1.54318
"148",1.53418
"149",1.52735
"150",1.76493
"151",1.70087
"152",1.73621
"153",1.73798
"154",1.74887
"155",1.74142
"156",1.7147
"157",1.62299
"158",1.62203
"159",1.61239
"160",1.65172
"161",1.74558
"162",1.86344
"163",1.92417
"164",2.00477
"165",2.03137
"166",1.95912
"167",1.81665
"168",1.78433
"169",1.93665
"170",1.93181
"171",1.84582
"172",1.85344
"173",1.85091
"174",1.84957
"175",1.71635
"176",1.71766
"177",1.71643
"178",1.64733
"179",1.66144
"180",1.64263
"181",1.69727
"182",1.71012
"183",1.72388
"184",1.62306
"185",1.67164
"186",1.63214
"187",1.63527
"188",1.53332
"189",1.54061
"190",1.56401
"191",1.64013
"192",1.72084
"193",1.78946
"194",1.81705
"195",1.84417
"196",1.91911
"197",1.9575
"198",1.90854
"199",1.90762
"200",1.85279
"201",1.81622
"202",1.72192
"203",1.72803
"204",1.65269
"205",1.6683
"206",1.82111
"207",1.82724
"208",1.83156
"209",1.8465
"210",1.86991
"211",1.94517
"212",1.96269
"213",2.01249
"214",2.00504
"215",1.96738
"216",1.93974
"217",1.96779
"218",1.79533
"219",1.85396
"220",1.8872
"221",1.89222
"222",1.90401
"223",1.89997
"224",1.78049
"225",1.92707
