"","x"
"1",-3.83529
"2",-3.77063
"3",-4.0013
"4",-3.86372
"5",-3.92311
"6",-3.86523
"7",-4.04279
"8",-3.95124
"9",-3.91523
"10",-3.98345
"11",-3.89993
"12",-3.75436
"13",-3.94596
"14",-3.93307
"15",-3.83031
"16",-3.93829
"17",-4.06416
"18",-3.18654
"19",-5.4507
"20",-4.02661
"21",-4.29211
"22",-4.30562
"23",-4.20893
"24",-4.20144
"25",-4.21826
"26",-4.17739
"27",-4.2301
"28",-4.21402
"29",-4.16399
"30",-3.83583
"31",-5.74855
"32",-4.1241
"33",-2.63344
"34",-3.86373
"35",-2.48771
"36",-4.85902
"37",-4.30773
"38",-3.97967
"39",-4.18123
"40",-4.21502
"41",-3.83783
"42",-4.91867
"43",-5.41668
"44",-2.72466
"45",-2.79542
"46",-3.29047
"47",-2.33896
"48",-4.4554
"49",-4.51454
"50",-3.42203
"51",-5.43617
"52",-5.88118
"53",-3.63035
"54",-4.52598
"55",-4.68836
"56",-4.34756
"57",-3.56439
"58",-0.828134
"59",-5.55337
"60",-5.39912
"61",-3.68304
"62",-5.85522
"63",-4.28581
"64",-4.05136
"65",-4.26372
"66",-4.13383
"67",-4.92894
"68",-3.77241
"69",-4.67167
"70",-5.62494
"71",-3.93824
"72",-4.15949
"73",-4.12128
"74",-4.27831
"75",-4.22796
"76",-4.20273
"77",-4.16987
"78",-3.92446
"79",-3.99192
"80",-4.27298
"81",-4.14968
"82",-4.18723
"83",-4.2999
"84",-4.26005
"85",-4.08488
"86",-4.12383
"87",-4.24135
"88",-4.08768
"89",-3.99957
"90",-4.00836
"91",-5.21607
"92",-1.98696
"93",-6.18985
"94",-5.75459
"95",-1.6659
"96",-1.41329
"97",-4.04574
"98",-3.86744
"99",-3.9181
"100",-3.90935
"101",-4.04812
"102",-4.07313
"103",-4.16316
"104",-3.59736
"105",-4.17171
"106",-5.85744
"107",-2.95598
"108",-4.83221
"109",-3.56697
"110",-2.75091
"111",-1.60667
"112",-2.02361
"113",-3.75834
"114",-5.48852
"115",-5.28212
"116",-4.79768
"117",-3.49786
"118",-2.12196
"119",-4.54638
"120",-5.62839
"121",-2.48916
"122",-2.0458
"123",-4.47669
"124",-5.42719
"125",-6.14527
"126",-5.18967
"127",-1.91655
"128",-3.98191
"129",-4.02135
"130",-3.97586
"131",-4.01063
"132",-6.34791
"133",-5.72784
"134",-4.8151
"135",-5.74661
